doi	received	accepted	published
10.1371/journal.ppat.1004931	2014-11-14	2015-05-04	2015-06-09
10.1371/journal.pntd.0001279	2010-10-18	2011-07-05	2011-08-16
10.1371/journal.pbio.1001585	2013-02-26	2013-05-02	2013-06-11
10.1371/journal.pmed.0050101	2007-08-14	2008-03-18	2008-05-27
10.1371/journal.pcbi.1003558	2013-07-09	2014-02-19	2014-04-17
10.1371/journal.ppat.1004662	2014-06-10	2015-01-06	2015-02-24
10.1371/journal.pmed.0040305	2006-12-04	2007-09-07	2007-11-13
10.1371/journal.pmed.0030260	2005-10-17	2006-03-31	2006-09-12
10.1371/journal.pmed.0040039	2005-08-30	2006-12-18	2007-02-13
10.1371/journal.pbio.1001110	2010-12-07	2011-06-02	2011-07-26
10.1371/journal.pone.0115247	2014-07-28	2014-11-20	2014-12-16
10.1371/journal.pbio.1000254	2009-05-11	2009-10-30	2009-12-08
10.1371/journal.ppat.1002645	2011-10-06	2012-03-01	2012-04-19
10.1371/journal.pgen.1000956	2009-06-10	2010-04-19	2010-05-20
10.1371/journal.ppat.1002111	2010-11-16	2011-04-24	2011-06-30
10.1371/journal.pone.0121973	2014-10-08	2015-02-05	2015-03-23
10.1371/journal.ppat.1002274	2011-05-26	2011-08-01	2011-10-06
10.1371/journal.ppat.1004291	2014-04-07	2014-06-19	2014-07-31
10.1371/journal.pntd.0002005	2012-05-17	2012-11-28	2013-01-17
10.1371/journal.pntd.0000806	2010-03-23	2010-07-30	2010-08-31
10.1371/journal.pgen.1002979	2011-10-26	2012-08-08	2012-09-27
10.1371/journal.pntd.0001178	2010-12-01	2011-03-31	2011-06-07
10.1371/journal.ppat.1000923	2010-02-05	2010-04-26	2010-05-27
10.1371/journal.ppat.1000601	2009-06-15	2009-08-31	2009-10-02
10.1371/journal.pone.0009157	2009-01-27	2010-01-18	2010-02-11
10.1371/journal.pone.0005611	2009-02-21	2009-04-17	2009-06-09
10.1371/journal.ppat.1004788	2014-08-12	2015-03-05	2015-04-02
10.1371/journal.ppat.1003342	2012-10-07	2013-03-21	2013-05-02
10.1371/journal.ppat.1004681	2014-07-31	2015-01-12	2015-02-24
10.1371/journal.ppat.1002119	2011-02-10	2011-04-29	2011-06-30
10.1371/journal.ppat.1000545	2009-03-09	2009-07-16	2009-08-14
10.1371/journal.pone.0111809	2014-04-29	2014-10-08	2014-11-03
10.1371/journal.pgen.1000261	2008-07-15	2008-10-14	2008-11-14
10.1371/journal.pntd.0000503	2009-04-20	2009-07-17	2009-08-18
10.1371/journal.pcbi.1002299	2011-05-02	2011-10-27	2012-01-12
10.1371/journal.pgen.1002825	2012-03-16	2012-05-25	2012-07-19
10.1371/journal.pmed.1001198	2011-07-15	2012-02-16	2012-04-03
10.1371/journal.pcbi.1003306	2013-04-17	2013-09-12	2013-11-07
10.1371/journal.pmed.1000241	2009-08-19	2010-01-27	2010-03-02
10.1371/journal.pntd.0003276	2014-07-11	2014-09-17	2014-11-20
10.1371/journal.pgen.1004985	2014-08-20	2015-01-05	2015-02-18
10.1371/journal.pntd.0003069	2014-04-08	2014-06-22	2014-08-07
10.1371/journal.pgen.1000814	2009-07-16	2009-12-14	2010-01-15
10.1371/journal.ppat.1001205	2010-07-12	2010-10-21	2010-11-24
10.1371/journal.pmed.0030265	2005-09-19	2006-04-20	2006-08-01
10.1371/journal.pone.0102317	2014-04-18	2014-06-17	2014-07-10
10.1371/journal.pntd.0000877	2010-05-10	2010-10-07	2010-11-02
10.1371/journal.ppat.1002820	2012-02-19	2012-06-11	2012-07-26
10.1371/journal.pone.0116225	2014-06-06	2014-12-04	2015-02-03
10.1371/journal.pcbi.1000873	2009-02-26	2010-06-30	2010-08-05
10.1371/journal.pmed.1000242	2009-06-22	2010-02-04	2010-03-09
10.1371/journal.pntd.0003569	2014-12-18	2015-01-27	2015-03-26
10.1371/journal.pbio.1000450	2010-02-16	2010-07-02	2010-08-10
10.1371/journal.pcbi.1000622	2009-03-27	2009-11-18	2009-12-24
10.1371/journal.pmed.0030374	2006-02-10	2006-07-03	2006-10-03
10.1371/journal.ppat.1004511	2014-03-11	2014-10-09	2014-12-04
10.1371/journal.pntd.0002903	2013-12-06	2014-04-14	2014-06-05
10.1371/journal.pone.0024147	2011-01-03	2011-08-05	2011-08-30
10.1371/journal.pone.0014290	2010-06-07	2010-11-16	2010-12-14
10.1371/journal.ppat.1000786	2009-09-23	2010-01-21	2010-02-26
10.1371/journal.pmed.1001110	2011-06-09	2011-09-14	2011-10-25
10.1371/journal.pmed.0040118	2006-09-12	2007-02-01	2007-04-03
10.1371/journal.pcbi.1002489	2011-10-20	2012-03-08	2012-04-26
10.1371/journal.pntd.0003707	2014-10-06	2015-03-17	2015-04-13
10.1371/journal.pgen.1004439	2014-01-07	2014-04-30	2014-06-26
10.1371/journal.pcbi.1000876	2010-03-19	2010-07-01	2010-08-05
10.1371/journal.pntd.0002897	2013-12-01	2014-04-11	2014-05-29
10.1371/journal.pgen.1002973	2012-02-24	2012-08-08	2012-10-11
10.1371/journal.ppat.1003470	2013-02-01	2013-05-16	2013-07-18
10.1371/journal.pcbi.1000198	2008-05-12	2008-09-03	2008-10-10
10.1371/journal.pcbi.1000631	2009-06-22	2009-12-01	2010-01-01
10.1371/journal.pone.0074419	2013-04-22	2013-08-01	2013-09-27
10.1371/journal.pcbi.0030075	2006-07-11	2007-03-06	2007-04-27
10.1371/journal.ppat.1003875	2013-04-18	2013-11-25	2014-01-23
10.1371/journal.pgen.1002116	2011-01-13	2011-04-20	2011-06-09
10.1371/journal.pcbi.0030084	2006-10-18	2007-03-28	2007-05-11
10.1371/journal.pgen.1004583	2014-04-01	2014-07-08	2014-09-04
10.1371/journal.pgen.1004130	2013-10-25	2013-12-04	2014-02-27
10.1371/journal.ppat.1004001	2013-09-24	2014-02-01	2014-03-13
10.1371/journal.pbio.1001551	2012-11-29	2013-03-19	2013-04-30
10.1371/journal.pntd.0003163	2014-02-20	2014-08-04	2014-09-11
10.1371/journal.pone.0031027	2011-08-30	2011-12-31	2012-02-01
10.1371/journal.pntd.0003557	2014-06-10	2015-01-21	2015-03-06
10.1371/journal.pbio.1001196	2011-06-17	2011-10-03	2011-11-15
10.1371/journal.pmed.1001552	2013-02-04	2013-10-10	2013-11-19
10.1371/journal.pbio.1000505	2010-03-18	2010-08-23	2010-10-05
10.1371/journal.pgen.1002670	2011-10-11	2012-03-09	2012-04-26
10.1371/journal.pbio.1001936	2014-04-30	2014-07-18	2014-08-26
10.1371/journal.ppat.1003926	2013-05-01	2013-12-28	2014-02-06
10.1371/journal.pbio.1001506	2012-11-30	2013-01-31	2013-03-12
10.1371/journal.pcbi.1002621	2012-01-18	2012-06-09	2012-08-16
10.1371/journal.pbio.1002122	2014-10-15	2015-03-06	2015-04-07
10.1371/journal.ppat.0030143	2007-05-01	2007-08-13	2007-10-12
10.1371/journal.pgen.1003212	2012-09-07	2012-11-14	2013-03-27
10.1371/journal.pone.0046808	2012-05-03	2012-09-10	2012-10-10
10.1371/journal.pone.0084388	2013-10-25	2013-11-18	2014-01-10
10.1371/journal.pgen.1003630	2013-03-04	2013-05-28	2013-07-11
10.1371/journal.pone.0101041	2014-01-31	2014-06-02	2014-07-01
10.1371/journal.pgen.1000604	2008-12-23	2009-07-16	2009-08-14
10.1371/journal.pone.0097582	2013-04-19	2014-04-22	2014-06-06
10.1371/journal.pntd.0002940	2014-02-19	2014-04-30	2014-06-05
10.1371/journal.pgen.0020180	2006-07-14	2006-09-06	2006-12-29
10.1371/journal.pgen.1004607	2014-02-11	2014-07-14	2014-09-11
10.1371/journal.pone.0087125	2013-11-10	2013-12-20	2014-01-29
