journal	journal_abbrev	articles	publication_days_mean	publication_days_median	publication_days_max	publication_days_min	publication_days_geq_100	acceptance_days_mean	acceptance_days_median	acceptance_days_max	acceptance_days_min	total_articles
AAPS PharmSciTech	AAPS PharmSciTech	282	32.968085106383	27	210	8	0.024822695035461	116.404255319149	108	447	1	287
ACS macro letters	ACS Macro Lett	17	6.29411764705882	5	22	1	0	54.4705882352941	44	105	8	23
ACS medicinal chemistry letters	ACS Med Chem Lett	59	6.91525423728814	5	62	1	0	65.2033898305085	57	150	6	589
AIDS research and therapy	AIDS Res Ther	60	18.4166666666667	13.5	65	3	0	139.433333333333	136	336	23	61
AIDS research and treatment	AIDS Res Treat	41	29.5853658536585	26	66	7	0	116.292682926829	111	226	32	43
AIP advances	AIP Adv	5	43	9	176	8	0.2	48.2	43	89	16	5
AJNR. American journal of neuroradiology	AJNR Am J Neuroradiol	85	86.2470588235294	81	184	39	0.235294117647059	86.6352941176471	73	713	2	531
AJP reports	AJP Rep	25	93.52	79	363	49	0.2	78.92	67	435	14	25
ALTEX	ALTEX	31	12.3870967741935	8	48	2	0	90.6451612903226	90	192	5	59
AMB Express	AMB Express	106	36.9150943396226	29	121	7	0.0471698113207547	46.7924528301887	38.5	172	1	108
AORN journal	AORN J	29	123.827586206897	72	444	37	0.379310344827586	69.551724137931	50	254	6	273
APMIS : acta pathologica, microbiologica, et immunologica Scandinavica	APMIS	164	82.1646341463415	82	180	20	0.213414634146341	121.237804878049	100.5	393	3	189
APSP journal of case reports	APSP J Case Rep	77	83.7792207792208	78	284	11	0.25974025974026	38.1948051948052	33	146	2	79
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	Acad Emerg Med	121	135.561983471074	141	210	27	0.900826446280992	79.297520661157	77	247	1	347
Academic pediatrics	Acad Pediatr	73	72.1095890410959	64	214	28	0.219178082191781	158.739726027397	129	445	1	195
Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry	Acad Psychiatry	348	61.8362068965517	40.5	340	11	0.152298850574713	132.686781609195	130	679	1	356
Academic radiology	Acad Radiol	205	67.8048780487805	59	302	10	0.131707317073171	90.9170731707317	82	303	1	358
Accident; analysis and prevention	Accid Anal Prev	472	20.8262711864407	19	136	3	0.00635593220338983	197.682203389831	170	981	31	480
Acta anaesthesiologica Scandinavica	Acta Anaesthesiol Scand	125	46.52	45	106	19	0.008	83.464	55	412	1	312
Acta anaesthesiologica Taiwanica : official journal of the Taiwan Society of Anesthesiologists	Acta Anaesthesiol Taiwan	66	91.5757575757576	79.5	211	8	0.409090909090909	126.121212121212	107.5	390	2	71
Acta bio-medica : Atenei Parmensis	Acta Biomed	60	154.433333333333	151	406	16	0.666666666666667	81.1333333333333	58	478	1	121
Acta biochimica Polonica	Acta Biochim Pol	142	37.4366197183099	26	217	1	0.0140845070422535	161.654929577465	134.5	511	1	213
Acta biochimica et biophysica Sinica	Acta Biochim Biophys Sin (Shanghai)	19	63.7368421052632	63	111	37	0.0526315789473684	92.6315789473684	73	393	20	214
Acta biomaterialia	Acta Biomater	698	8.75644699140401	8	43	4	0	127.287965616046	121	554	14	702
Acta biotheoretica	Acta Biotheor	43	15.953488372093	12	74	4	0	209.046511627907	191	476	7	44
Acta cirurgica brasileira / Sociedade Brasileira para Desenvolvimento Pesquisa em Cirurgia	Acta Cir Bras	9	14.6666666666667	14	20	13	0	89.8888888888889	89	92	89	229
Acta crystallographica Section B, Structural science, crystal engineering and materials	Acta Crystallogr B Struct Sci Cryst Eng Mater	151	64.2516556291391	61	160	6	0.178807947019868	99.0596026490066	91	250	1	157
Acta crystallographica. Section A, Foundations and advances	Acta Crystallogr A Found Adv	84	63.8095238095238	63	134	5	0.0833333333333333	90.4404761904762	82.5	243	2	88
Acta crystallographica. Section C, Structural chemistry	Acta Crystallogr C Struct Chem	327	18.5596330275229	12	379	2	0.0214067278287462	50.3241590214067	43	261	1	330
Acta crystallographica. Section D, Biological crystallography	Acta Crystallogr D Biol Crystallogr	443	73.6975169300226	67	335	16	0.137697516930023	94.8758465011287	82	483	1	448
Acta crystallographica. Section E, Crystallographic communications	Acta Crystallogr E Crystallogr Commun	517	11.8123791102515	8	46	2	0	15.5976789168279	10	159	1	523
Acta crystallographica. Section E, Structure reports online	Acta Crystallogr Sect E Struct Rep Online	1707	9.27357937902753	7	110	1	0.000585823081429408	19.0427650849443	11	290	1	1752
Acta crystallographica. Section F, Structural biology communications	Acta Crystallogr F Struct Biol Commun	469	34.5074626865672	31	143	3	0.0149253731343284	56.7654584221748	52	210	1	474
Acta cytologica	Acta Cytol	102	59.6862745098039	58	123	12	0.0588235294117647	85.4411764705882	79	237	1	105
Acta diabetologica	Acta Diabetol	227	26.2863436123348	21	193	6	0.0176211453744493	75.8942731277533	71	265	1	231
Acta ethologica	Acta Ethol	3	19.3333333333333	18	23	17	0	207	98	426	97	4
Acta haematologica	Acta Haematol	118	140.491525423729	134.5	267	39	0.771186440677966	108.491525423729	85.5	469	1	162
Acta histochemica	Acta Histochem	189	32.2010582010582	31	175	8	0.00529100529100529	64.3915343915344	56	301	1	198
Acta histochemica et cytochemica	Acta Histochem Cytochem	45	52.1777777777778	54	100	18	0.0222222222222222	80.0444444444445	81	297	7	45
